,Tit,Cur,Int,Cuat,Acr,Nombre,Fecha
201,Ingenieria Informatica,4,TI,1,CRIM,Compresion y Recuperacion de Informacion Multimedia,"Miercoles, 11 de Enero"
202,Ingenieria Informatica,4,TI,1,TID,Tratamiento de Imagenes Digitales,"Viernes, 20 de Enero"
203,Ingenieria Informatica,1,,1,ALEM,Álgebra Lineal y Estructuras Matematicas,"Viernes, 17 de Febrero"
204,Ingenieria Informatica,1,,1,CA,Calculo,"Miercoles, 15 de Febrero"
205,Ingenieria Informatica,1,,1,FFT,Fundamentos Fisicos y Tecnologicos,"Lunes, 13 de Febrero"
206,Ingenieria Informatica,1,,1,FP,Fundamentos de Programacion,"Martes, 7 de Febrero"
207,Ingenieria Informatica,1,,1,FS,Fundamentos del Software,"Jueves, 9 de Febrero"
208,Ingenieria Informatica,2,,1,EC,Estructura de computadores,"Lunes, 13 de Febrero"
209,Ingenieria Informatica,2,,1,ED,Estructura de Datos,"Viernes, 17 de Febrero"
210,Ingenieria Informatica,2,,1,PDOO,Programacion y Diseno Orientado a Objetos,"Martes, 14 de Febrero"
211,Ingenieria Informatica,2,,1,SCD,Sistemas Concurrentes y Distribuidos,"Viernes, 10 de Febrero"
212,Ingenieria Informatica,2,,1,SO,Sistemas Operativos,"Miercoles, 8 de Febrero"
213,Ingenieria Informatica,3,,1,DDSI,Diseno y Desarrollo de Sistemas de Informacion,"Martes, 14 de Febrero"
214,Ingenieria Informatica,3,,1,FR,Fundamentos de Redes,"Martes, 7 de Febrero"
215,Ingenieria Informatica,3,,1,IG,Informatica Grafica,"Miercoles, 15 de Febrero"
216,Ingenieria Informatica,3,,1,ISE,Ingenieria de Servidores,"Viernes, 10 de Febrero"
217,Ingenieria Informatica,3,,1,MC,Modelos de Computacion,"Miercoles, 8 de Febrero"
218,Ingenieria Informatica,4,CSI,1,NPI,Nuevos Paradigmas de Interaccion,"Jueves, 9 de Febrero"
219,Ingenieria Informatica,4,CSI,1,PL,Procesadores de Lenguajes,"Viernes, 17 de Febrero"
220,Ingenieria Informatica,4,CSI,1,VC,Vision por Computador,"Lunes, 13 de Febrero"
221,Ingenieria Informatica,4,CSI,1,PTC,Programacion Tecnica y Cientifica,"Miercoles, 15 de Febrero"
222,Ingenieria Informatica,4,CSI,1,TIC,Teoria de la Informacion y la Codificacion,"Martes, 14 de Febrero"
223,Ingenieria Informatica,4,CSI,1,SS,Simulacion de Sistemas,"Miercoles, 8 de Febrero"
224,Ingenieria Informatica,4,IC,1,CPD,Centros de Procesamiento de Datos,"Jueves, 9 de Febrero"
225,Ingenieria Informatica,4,IC,1,SE,Sistemas Empotrados,"Viernes, 17 de Febrero"
226,Ingenieria Informatica,4,IC,1,TR,Tecnologias de Red,"Lunes, 13 de Febrero"
227,Ingenieria Informatica,4,IC,1,II,Informatica Industrial,"Miercoles, 15 de Febrero"
228,Ingenieria Informatica,4,IC,1,TE,Tecnologias Emergentes,"Miercoles, 8 de Febrero"
229,Ingenieria Informatica,4,IS,1,DBA,Desarrollo Basado en Agentes,"Jueves, 9 de Febrero"
